Date,Tweet_Count,Avg_Sentiment_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Ratio,Negative_Ratio
2022-02-01,114,0.043859649122807015,42,37,35,0.3684210526315789,0.32456140350877194
2022-02-02,96,0.16666666666666666,29,13,54,0.3020833333333333,0.13541666666666666
2022-02-03,100,0.21,46,25,29,0.46,0.25
2022-02-04,81,0.19753086419753085,26,10,45,0.32098765432098764,0.12345679012345678
2022-02-05,71,0.5070422535211268,43,7,21,0.6056338028169014,0.09859154929577464
2022-02-06,55,0.2545454545454545,20,6,29,0.36363636363636365,0.10909090909090909
2022-02-07,83,0.21686746987951808,27,9,47,0.3253012048192771,0.10843373493975904
2022-02-08,110,0.19090909090909092,39,18,53,0.35454545454545455,0.16363636363636364
2022-02-09,87,0.19540229885057472,32,15,40,0.367816091954023,0.1724137931034483
2022-02-10,68,0.08823529411764706,23,17,28,0.3382352941176471,0.25
2022-02-11,99,0.13131313131313133,35,22,42,0.35353535353535354,0.2222222222222222
2022-02-12,62,0.46774193548387094,35,6,21,0.5645161290322581,0.0967741935483871
2022-02-13,50,0.28,19,5,26,0.38,0.1
2022-02-14,114,0.20175438596491227,47,24,43,0.41228070175438597,0.21052631578947367
2022-02-15,88,0.3977272727272727,43,8,37,0.48863636363636365,0.09090909090909091
2022-02-16,75,0.26666666666666666,29,9,37,0.38666666666666666,0.12
2022-02-17,102,0.06930693069306931,33,26,42,0.3235294117647059,0.2549019607843137
2022-02-18,85,0.16470588235294117,33,19,33,0.38823529411764707,0.2235294117647059
2022-02-19,74,0.21621621621621623,31,15,28,0.4189189189189189,0.20270270270270271
2022-02-20,62,0.2903225806451613,24,6,32,0.3870967741935484,0.0967741935483871
2022-02-21,42,0.14285714285714285,16,10,16,0.38095238095238093,0.23809523809523808
2022-02-22,103,0.1262135922330097,37,24,42,0.3592233009708738,0.23300970873786409
2022-02-23,154,0.025974025974025976,58,54,42,0.37662337662337664,0.35064935064935066
2022-02-24,106,0.009433962264150943,33,32,41,0.3113207547169811,0.3018867924528302
2022-02-25,61,0.21311475409836064,20,7,34,0.32786885245901637,0.11475409836065574
2022-02-26,33,0.36363636363636365,14,2,17,0.42424242424242425,0.06060606060606061
2022-02-27,36,0.4166666666666667,19,4,13,0.5277777777777778,0.1111111111111111
2022-02-28,103,0.36893203883495146,49,11,43,0.47572815533980584,0.10679611650485436
2022-03-01,76,0.3815789473684211,41,12,23,0.5394736842105263,0.15789473684210525
2022-03-02,87,0.16091954022988506,35,21,31,0.40229885057471265,0.2413793103448276
2022-03-03,90,0.26666666666666666,38,14,38,0.4222222222222222,0.15555555555555556
2022-03-04,107,0.37383177570093457,60,20,27,0.5607476635514018,0.18691588785046728
2022-03-05,35,0.5714285714285714,23,3,9,0.6571428571428571,0.08571428571428572
2022-03-06,51,0.5686274509803921,32,3,16,0.6274509803921569,0.058823529411764705
2022-03-07,84,0.23809523809523808,36,16,32,0.42857142857142855,0.19047619047619047
2022-03-08,101,0.21782178217821782,38,16,47,0.37623762376237624,0.15841584158415842
2022-03-09,86,0.29069767441860467,39,14,33,0.45348837209302323,0.16279069767441862
2022-03-10,102,0.21568627450980393,44,22,36,0.43137254901960786,0.21568627450980393
2022-03-11,94,0.19148936170212766,43,25,26,0.4574468085106383,0.26595744680851063
2022-03-12,47,0.46808510638297873,27,5,15,0.574468085106383,0.10638297872340426
